attack_date,attack_year,attack_type,attack_state,attack_location,activity,number_of_attacks,latitude,longitude,ice_cream
24-Nov-2018,2018.0,Unprovoked,Florida,"Juno Beach, Palm Beach County",Surfing,4,26.8797819,-80.0533743,14
23-Oct-2018,2018.0,Unprovoked,Florida,"Near Patrick AFB, Brevard County",Surfing,1,28.2394645,-80.6075172,1
23-Oct-2018,2018.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,10,29.0963729,-80.9369983,5
23-Oct-2018,2018.0,Unprovoked,California,Farallon Islands,Diving / Filming,1,37.69891,-123.003361,0
11-Oct-2018,2018.0,Unprovoked,Florida,"Bethune Beach, Volusia County",Surfing,4,28.9491539,-80.83783,4
29-Sep-2018,2018.0,Unprovoked,California,"Beacons Beach, San Diego County",Diving,1,33.0651901,-117.3047175,10
27-Sep-2018,2018.0,Watercraft,California,Humboldt County,Fishing,1,40.7450055,-123.8695086,0
15-Sep-2018,2018.0,Unprovoked,Massachusetts,"Newcomb Hollow Beach, Wellfleet, Barnstable County",Boogie boarding,1,41.963231,-69.996453,3
08-Sep-2018,2018.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,10,29.0963729,-80.9369983,5
08-Sep-2018,2018.0,Unprovoked,Hawaii,"Pounders Beach, Oahu",Stand-Up Paddleboarding,1,21.6327357,-157.9204125,15
07-Sep-2018,2018.0,Unprovoked,Florida,"Fort Pierce, St. Lucie County",Surfing,2,27.4467056,-80.3256056,15
24-Aug-2018,2018.0,Unprovoked,California,"Huntington Beach, Orange County",Swimming,3,33.6594835,-117.9988026,15
18-Aug-2018,2018.0,Unprovoked,North Carolina,"Atlantic Beach, Carteret  County",Surfing,1,34.6990505,-76.7402108,15
15-Aug-2018,2018.0,Unprovoked,Massachusetts,"Longnook Beach, Truro, Barnstable County",Swimming,1,42.0209366,-70.0369682,4
09-Aug-2018,2018.0,Unprovoked,Texas,"Crystal Beach, Galveston  County",Spearfishing,1,29.457177,-94.6396378,10
05-Aug-2018,2018.0,Unprovoked,North Carolina,"Bald Head Island, Brunswick County",Standing,3,33.8737069,-78.0015309,9
05-Aug-2018,2018.0,Unprovoked,North Carolina,"Bald Head Island, Brunswick County",Swimming/Standing,3,33.8737069,-78.0015309,9
29-Jul-2018,2018.0,Unprovoked,Florida,"St Augustine, St Johns County",Surfing,1,29.9012437,-81.3124341,15
18-Jul-2018,2018.0,Unprovoked,New York,"Atlantique Beach, Fire Island, Suffolk County",Boogie Boarding,1,40.6395443,-73.1731706,3
18-Jul-2018,2018.0,Unprovoked,New York,"Sailors Haven, Fire Island, Suffolk County",Wading,1,40.6571732,-73.1053444,4
 16-Jul-2018,2018.0,Invalid,Texas,Galveston,Surfing,3,29.3013479,-94.7976958,15
14-Jul-2018,2018.0,Provoked,California,"Trinidad Beach, Huboldt County",Wading,1,41.065402,-124.1503472,4
14-Jul-2018,2018.0,Under investigation,Florida,"Playalinda Beach, Brevard County",Surfing,4,28.6555177,-80.6318287,0
13-Jul-2018,2018.0,Unprovoked,Florida,"Fernandina Beach, Nassau County",Wading,2,30.6696818,-81.4625919,15
13-Jul-2018,2018.0,Unprovoked,Florida,"Fernandina Beach, Nassau County",Surfing,2,30.6696818,-81.4625919,15
11-Jul-2018,2018.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
07-Jul-2018,2018.0,Invalid,Florida,"John Pennekamp Coral Reef State Park, Monroe County",Snorkeling,1,25.1252463,-80.4060761,15
02-Jul-2018,2018.0,Unprovoked,South Carolina,Myrtle Beach,Boogie boarding,2,33.6890603,-78.8866943,15
25-Jun-2018,2018.0,Watercraft,California,"Oceanside, San Diego County",Paddling,1,33.1958696,-117.3794834,15
18-Jun-2018,2018.0,Provoked,Florida,"Near the Bahia Honda Bridge, Monroe County",Fishing,1,24.6547218,-81.2816998,0
18-Jun-2018,2018.0,Unprovoked,Georgia,"St. Simon Island, Glynn County",Standing,1,31.1595905,-81.3885517,15
09-Jun-2018,2018.0,Invalid,Hawaii,"Habush, Oahu",Surfing,1,21.306613,-158.025335,6
